"id","name","retailer","category","price","purchaseUrl","asin"
"09QOiR7lChQWvQxUCxOm","Minimal Pillow Set","Amazon","cozy-bedroom","57.51","https://www.amazon.ca/dp/B07XXRKMCW/ref=nosim?tag=YOURREALTAG-20","B07XXRKMCW"
"0V34Qtn11GVDMXKHruws","Woven Storage Basket","Amazon","storage","35.99","https://www.amazon.ca/dp/B0BYD6NMXG/ref=nosim?tag=YOURREALTAG-20","B0BYD6NMXG"
"0ViJxN1ldrp1NcAYhXSL","Minimal Wool Rug","Amazon","storage","59.99","https://www.amazon.ca/dp/B0FH2XQMK9/ref=nosim?tag=YOURREALTAG-20","B0FH2XQMK9"
"0gODIckhMRY7QwHGJ7Bh","Classic Shelf Unit","Amazon","storage","92.99","https://www.amazon.ca/dp/B0932PSJ1K/ref=nosim?tag=YOURREALTAG-20","B0932PSJ1K"
"0jNp8d45kKVNFlK6ZNiZ","Classic Round Mirror","Amazon","mirrors","69.99","https://www.amazon.ca/dp/B0CL8R9KG5/ref=nosim?tag=YOURREALTAG-20","B0CL8R9KG5"
"0p113dqwz2AktGL1LKwO","Minimal Planter","Amazon","plants","39.99","https://www.amazon.ca/dp/B0B3RNR33Y/ref=nosim?tag=YOURREALTAG-20","B0B3RNR33Y"
"0xXjOhR9WVTIUuwGxESD","Modern Dining Chair","Amazon","storage","145.99","https://www.amazon.ca/dp/B0DJR71CRZ/ref=nosim?tag=YOURREALTAG-20","B0DJR71CRZ"
"19zvo8iKYKlbGqstz0wh","Modern Serving Tray","Amazon","storage","23.99","https://www.amazon.ca/dp/B0CYT1MZ2X/ref=nosim?tag=YOURREALTAG-20","B0CYT1MZ2X"
"1HEqAQv87FgwaZC2i7iA","Modern Kitchen Decor","Amazon","lighting","39.98","https://www.amazon.ca/dp/B0DP2FW3GX/ref=nosim?tag=YOURREALTAG-20","B0DP2FW3GX"
"1KsituU0cCR7EWQIsekR","Modern Dining Chair","Amazon","storage","199.99","https://www.amazon.ca/dp/B0FQ5BB15D/ref=nosim?tag=YOURREALTAG-20","B0FQ5BB15D"
"1Ugc7BgT2nM8O83ADMiR","Cozy Bench","Amazon","storage","155.99","https://www.amazon.ca/dp/B084SN2GD7/ref=nosim?tag=YOURREALTAG-20","B084SN2GD7"
"1XUoQVMrPBrQkhbqgm3u","Bold Table Lamp","Amazon","lighting","64.99","https://www.amazon.ca/dp/B0DHL46YF2/ref=nosim?tag=YOURREALTAG-20","B0DHL46YF2"
"25rsjAVfziaNsnTEJiWl","Minimal Round Mirror","Amazon","mirrors","62.99","https://www.amazon.ca/dp/B0DGXDWNG4/ref=nosim?tag=YOURREALTAG-20","B0DGXDWNG4"
"2bllusfsCmNnvXQuBd2U","Minimal Runner Rug","Amazon","storage","103.99","https://www.amazon.ca/dp/B0D9P5N6BJ/ref=nosim?tag=YOURREALTAG-20","B0D9P5N6BJ"
"2gXrsxN5L1f6r2nWma5T","Soft Serving Tray","Amazon","storage","31.99","https://www.amazon.ca/dp/B0D63B75M9/ref=nosim?tag=YOURREALTAG-20","B0D63B75M9"
"2l2YxTiWCalduZnXhryV","Modern Stool","Amazon","storage","173.99","https://www.amazon.ca/dp/B08RYRYTLB/ref=nosim?tag=YOURREALTAG-20","B08RYRYTLB"
