id,title,merchant,brand,asin,active,swipeEligible,imageApproved,isCurated,purchaseUrl,imageUrl
Lb9wEg1Rc1MHoOzWOYEX,Abstract Canvas Print,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Abstract%20Canvas%20Print%20SwipeShop%20Studio%20Wall%20Art,https://picsum.photos/seed/wall_art_01/600/600
preakj797TXCmq0dhGRO,Abstract Canvas Print,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Abstract%20Canvas%20Print%20SwipeShop%20Studio%20Wall%20Art,https://picsum.photos/seed/wall_art_01/600/600
jMLLs94urvkN3RH7Ycgr,Arc Floor Lamp,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Arc%20Floor%20Lamp%20SwipeShop%20Studio%20Lighting,https://picsum.photos/seed/lighting_02/600/600
r4ey0vdEGwckjUEBM6QL,Arc Floor Lamp,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Arc%20Floor%20Lamp%20SwipeShop%20Studio%20Lighting,https://picsum.photos/seed/lighting_02/600/600
h4HaZTwUImEqrxZvFnsY,Arched Mirror,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Arched%20Mirror%20SwipeShop%20Studio%20Mirrors,https://picsum.photos/seed/mirrors_03/600/600
kmL0H2D3D7Z5yk4fJPpq,Arched Mirror,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Arched%20Mirror%20SwipeShop%20Studio%20Mirrors,https://picsum.photos/seed/mirrors_03/600/600
4PNJeqmQbezgstreV1Rt,Bold Accent Chair,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Bold%20Accent%20Chair%20SwipeShop%20Studio%20seating,https://picsum.photos/seed/seating_137/600/600
kNFWNHAjH8daLLEsXICN,Bold Accent Chair,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Bold%20Accent%20Chair%20SwipeShop%20Studio%20seating,https://picsum.photos/seed/seating_44/600/600
XA63AfhZCwtHjx70onpA,Bold Accent Chair,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Bold%20Accent%20Chair%20SwipeShop%20Studio%20seating,https://picsum.photos/seed/seating_48/600/600
yCCnJ1bgwI3PTw2oxwlH,Bold Accent Chair,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Bold%20Accent%20Chair%20SwipeShop%20Studio%20seating,https://picsum.photos/seed/seating_115/600/600
L76nDqmtfHrtOSVCVBnm,Bold Area Rug,Amazon,SwipeShop Studio,,true,false,false,false,https://www.amazon.ca/s?k=Bold%20Area%20Rug%20SwipeShop%20Studio%20rugs,https://picsum.photos/seed/rugs_152/600/600
