"id","name","retailer","category","price","asin","purchaseUrl","resolvedUrl","hasUrl","validUrl","hostname","retailerMatchesDomain","affiliateRuleConfigured","affiliateMarkerPresent","placeholderAffiliateTag","duplicateRawUrl","suspiciousUrl","runtimeAffiliateMarkerPresent","dataStatus","launchStatus","manualReady","notes","launchNotes","manualOpened","manualPageLoads","manualRightProduct","manualRightRetailer","manualNo404","manualNoWeirdRedirect","manualMobileIssue","manualFixNeeded","manualNotes"
"09QOiR7lChQWvQxUCxOm","Minimal Pillow Set","Amazon","cozy-bedroom","57.51","B07XXRKMCW","https://www.amazon.ca/dp/B07XXRKMCW/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B07XXRKMCW/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0V34Qtn11GVDMXKHruws","Woven Storage Basket","Amazon","storage","35.99","B0BYD6NMXG","https://www.amazon.ca/dp/B0BYD6NMXG/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0BYD6NMXG/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0ViJxN1ldrp1NcAYhXSL","Minimal Wool Rug","Amazon","storage","59.99","B0FH2XQMK9","https://www.amazon.ca/dp/B0FH2XQMK9/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0FH2XQMK9/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0gODIckhMRY7QwHGJ7Bh","Classic Shelf Unit","Amazon","storage","92.99","B0932PSJ1K","https://www.amazon.ca/dp/B0932PSJ1K/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0932PSJ1K/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0jNp8d45kKVNFlK6ZNiZ","Classic Round Mirror","Amazon","mirrors","69.99","B0CL8R9KG5","https://www.amazon.ca/dp/B0CL8R9KG5/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0CL8R9KG5/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0p113dqwz2AktGL1LKwO","Minimal Planter","Amazon","plants","39.99","B0B3RNR33Y","https://www.amazon.ca/dp/B0B3RNR33Y/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0B3RNR33Y/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0xXjOhR9WVTIUuwGxESD","Modern Dining Chair","Amazon","storage","145.99","B0DJR71CRZ","https://www.amazon.ca/dp/B0DJR71CRZ/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DJR71CRZ/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"19zvo8iKYKlbGqstz0wh","Modern Serving Tray","Amazon","storage","23.99","B0CYT1MZ2X","https://www.amazon.ca/dp/B0CYT1MZ2X/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0CYT1MZ2X/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1HEqAQv87FgwaZC2i7iA","Modern Kitchen Decor","Amazon","lighting","39.98","B0DP2FW3GX","https://www.amazon.ca/dp/B0DP2FW3GX/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DP2FW3GX/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1KsituU0cCR7EWQIsekR","Modern Dining Chair","Amazon","storage","199.99","B0FQ5BB15D","https://www.amazon.ca/dp/B0FQ5BB15D/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0FQ5BB15D/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","fail","fail","no","placeholder affiliate tag: YOURREALTAG-20","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
