"id","displayName","name","title","brand","merchant","retailer","category","price","purchaseUrl","asin","imageUrl","imageApproved","isCurated","active","swipeEligible"
"09QOiR7lChQWvQxUCxOm","Minimal Pillow Set","Minimal Pillow Set","Minimal Pillow Set","SwipeShop Studio","Amazon","Amazon","cozy-bedroom","57.51","https://www.amazon.ca/dp/B07XXRKMCW/ref=nosim?tag=YOURREALTAG-20","B07XXRKMCW","https://shoppurilite.ca/cdn/shop/files/613A4InUrUL._AC_SL1500.jpg?v=1754039540","no","no","yes","yes"
"0V34Qtn11GVDMXKHruws","Woven Storage Basket","Woven Storage Basket","Woven Storage Basket","SwipeShop Studio","Amazon","Amazon","storage","35.99","https://www.amazon.ca/dp/B0BYD6NMXG/ref=nosim?tag=YOURREALTAG-20","B0BYD6NMXG","https://m.media-amazon.com/images/I/71XXGTtwsqL._AC_SL400_.jpg","no","no","yes","yes"
"0ViJxN1ldrp1NcAYhXSL","Minimal Wool Rug","Minimal Wool Rug","Minimal Wool Rug","SwipeShop Studio","Amazon","Amazon","storage","59.99","https://www.amazon.ca/dp/B0FH2XQMK9/ref=nosim?tag=YOURREALTAG-20","B0FH2XQMK9","https://i5.walmartimages.com/asr/570a7a8b-1d53-4d29-a04a-d7927c461eb8.ed1ba53ffd03e2272b550086af21c8a7.jpeg","no","no","yes","yes"
"0gODIckhMRY7QwHGJ7Bh","Classic Shelf Unit","Classic Shelf Unit","Classic Shelf Unit","SwipeShop Studio","Amazon","Amazon","storage","92.99","https://www.amazon.ca/dp/B0932PSJ1K/ref=nosim?tag=YOURREALTAG-20","B0932PSJ1K","https://images.thdstatic.com/productImages/5777c42358324d94b47bb931c4b2415f/svn/black-tileon-pantry-organizers-aybszhd2729-64_600.jpg","no","no","yes","no"
"0jNp8d45kKVNFlK6ZNiZ","Classic Round Mirror","Classic Round Mirror","Classic Round Mirror","SwipeShop Studio","Amazon","Amazon","mirrors","69.99","https://www.amazon.ca/dp/B0CL8R9KG5/ref=nosim?tag=YOURREALTAG-20","B0CL8R9KG5","https://images.thdstatic.com/productImages/437042f7-1979-4fbd-b802-69be15738785/svn/ebikebc-wall-mirrors-e-b36-64_600.jpg","no","no","yes","yes"
"0p113dqwz2AktGL1LKwO","Minimal Planter","Minimal Planter","Minimal Planter","SwipeShop Studio","Amazon","Amazon","plants","39.99","https://www.amazon.ca/dp/B0B3RNR33Y/ref=nosim?tag=YOURREALTAG-20","B0B3RNR33Y","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMppMT8j2J_FjY6epUxqBLtPfZ7RH4h4lrCg&s","no","no","yes","yes"
"0xXjOhR9WVTIUuwGxESD","Modern Dining Chair","Modern Dining Chair","Modern Dining Chair","SwipeShop Studio","Amazon","Amazon","storage","145.99","https://www.amazon.ca/dp/B0DJR71CRZ/ref=nosim?tag=YOURREALTAG-20","B0DJR71CRZ","https://img-us.aosomcdn.com/thumbnail/100/n0/product/2022/10/31/2N790f1842c7c632d.jpg","no","no","yes","no"
"19zvo8iKYKlbGqstz0wh","Modern Serving Tray","Modern Serving Tray","Modern Serving Tray","SwipeShop Studio","Amazon","Amazon","storage","23.99","https://www.amazon.ca/dp/B0CYT1MZ2X/ref=nosim?tag=YOURREALTAG-20","B0CYT1MZ2X","https://i5.walmartimages.com/asr/93c81e9a-0b6d-4fb3-892e-150d6aee6bfd.1448d8591fd14fe527c58f156c86ed21.jpeg?odnHeight=328&odnWidth=328&odnBg=FFFFFF","no","no","yes","yes"
"1HEqAQv87FgwaZC2i7iA","Modern Kitchen Decor","Modern Kitchen Decor","Modern Kitchen Decor","SwipeShop Studio","Amazon","Amazon","lighting","39.98","https://www.amazon.ca/dp/B0DP2FW3GX/ref=nosim?tag=YOURREALTAG-20","B0DP2FW3GX","https://i5.walmartimages.com/asr/71e01bdd-7fb5-4bf2-aaca-22db1f0dcec9.92f3fcdc64c786876e86fd3cdb9b1786.jpeg","no","no","yes","yes"
"1KsituU0cCR7EWQIsekR","Modern Dining Chair","Modern Dining Chair","Modern Dining Chair","SwipeShop Studio","Amazon","Amazon","storage","199.99","https://www.amazon.ca/dp/B0FQ5BB15D/ref=nosim?tag=YOURREALTAG-20","B0FQ5BB15D","https://images.thdstatic.com/productImages/ad8854dd-f98b-488b-b79b-6d4a2bef8138/svn/brown-wonder-comfort-dining-chairs-tn-2dc5081-pl-64_600.jpg","no","no","yes","no"
