id,displayTitle,merchant,brand,category,asin,price,purchaseUrl,imageUrl,hasPurchaseUrl,validPurchaseUrl,purchaseHostname,merchantMatchesPurchaseDomain,hasAsin,asinPresentInPurchaseUrl,affiliateTagPresent,affiliateTagValue,affiliateTagLooksPlaceholder,hasImageUrl,validImageUrl,imageHostname,imageDomainMatchesMerchant,imageApproved,isCurated,active,swipeEligible,titleFieldsConsistent,suspiciousBrandValue,status,notes
amazon_B0D47BFZ2G,Bwodke Framed Neutral Abstract Wall Art Set,Amazon.ca,Bwodke,wall-decor,B0D47BFZ2G,19.99,https://www.amazon.ca/dp/B0D47BFZ2G?tag=seligo-live-20,https://m.media-amazon.com/images/I/71IPBcmKhZL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0BQ3N3HS1,CEMABT Ceramic Body Face Vase,Amazon.ca,CEMABT,shelf-styling,B0BQ3N3HS1,18.99,https://www.amazon.ca/dp/B0BQ3N3HS1?tag=seligo-live-20,https://m.media-amazon.com/images/I/6161YWsMUkL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B09TZKJ5BG,CEMABT Donut Ceramic Vase,Amazon.ca,CEMABT,shelf-styling,B09TZKJ5BG,16.99,https://www.amazon.ca/dp/B09TZKJ5BG?tag=seligo-live-20,https://m.media-amazon.com/images/I/71y0wKJHZ0L._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0CDLP9SQ3,CEREMONY Wooden Incense Holder with Glass Ash Catcher,Amazon.ca,CEREMONY,shelf-styling,B0CDLP9SQ3,23.99,https://www.amazon.ca/dp/B0CDLP9SQ3?tag=seligo-live-20,https://m.media-amazon.com/images/I/61HTszC6IHL._AC_SY879_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0848JGM78,COCODOR Flower Reed Diffuser Set White Jasmine,Amazon.ca,Cocod'or,shelf-styling,B0848JGM78,27.99,https://www.amazon.ca/dp/B0848JGM78?tag=seligo-live-20,https://m.media-amazon.com/images/I/61h2tXuDjjL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B06ZYH411W,Command Display Floating Wall Shelves Set,Amazon.ca,Command,wall-decor,B06ZYH411W,25.02,https://www.amazon.ca/dp/B06ZYH411W?tag=seligo-live-20,https://m.media-amazon.com/images/I/71C6kInVA0L._AC_SY879_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B07Y5HTRVD,Dahey Gold Hanging Round Wall Mirror,Amazon.ca,Dahey,mirrors,B07Y5HTRVD,22.99,https://www.amazon.ca/dp/B07Y5HTRVD?tag=seligo-live-20,https://m.media-amazon.com/images/I/61qpbCI8JhL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0CXXD2TFZ,Der Rose 2-Piece Faux Hanging Plant Set,Amazon.ca,Der Rose,plants,B0CXXD2TFZ,26.99,https://www.amazon.ca/dp/B0CXXD2TFZ?tag=seligo-live-20,https://m.media-amazon.com/images/I/814dRWyGaIL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0BZ8DZV6D,Der Rose 3-Piece Mini Faux Succulent Set,Amazon.ca,Der Rose,plants,B0BZ8DZV6D,19.99,https://www.amazon.ca/dp/B0BZ8DZV6D?tag=seligo-live-20,https://m.media-amazon.com/images/I/81UChF-GWVL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0F93NDNTM,EDISHINE 13.4 Inch Wood Table Lamp,Amazon.ca,EDISHINE,lighting,B0F93NDNTM,33.99,https://www.amazon.ca/dp/B0F93NDNTM?tag=seligo-live-20,https://m.media-amazon.com/images/I/71qmmtA4kFL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
