"id","displayName","brand","merchant","category","price","imageUrlHostname","imageUrlMatchesMerchantDomain","purchaseUrl","isCurated","duplicateTitleFields","titleFieldsPresent","suspiciousBrandValue","status","launchStatus","manualReady","notes","launchNotes","manualOpened","manualPageLoads","manualRightProduct","manualRightRetailer","manualNo404","manualNoWeirdRedirect","manualMobileIssue","manualFixNeeded","manualNotes"
"09QOiR7lChQWvQxUCxOm","Minimal Pillow Set","SwipeShop Studio","Amazon","cozy-bedroom","57.51","shoppurilite.ca","no","https://www.amazon.ca/dp/B07XXRKMCW/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: shoppurilite.ca; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0V34Qtn11GVDMXKHruws","Woven Storage Basket","SwipeShop Studio","Amazon","storage","35.99","m.media-amazon.com","yes","https://www.amazon.ca/dp/B0BYD6NMXG/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0ViJxN1ldrp1NcAYhXSL","Minimal Wool Rug","SwipeShop Studio","Amazon","storage","59.99","i5.walmartimages.com","no","https://www.amazon.ca/dp/B0FH2XQMK9/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: i5.walmartimages.com; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0gODIckhMRY7QwHGJ7Bh","Classic Shelf Unit","SwipeShop Studio","Amazon","storage","92.99","images.thdstatic.com","no","https://www.amazon.ca/dp/B0932PSJ1K/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: images.thdstatic.com; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0jNp8d45kKVNFlK6ZNiZ","Classic Round Mirror","SwipeShop Studio","Amazon","mirrors","69.99","images.thdstatic.com","no","https://www.amazon.ca/dp/B0CL8R9KG5/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: images.thdstatic.com; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0p113dqwz2AktGL1LKwO","Minimal Planter","SwipeShop Studio","Amazon","plants","39.99","encrypted-tbn0.gstatic.com","no","https://www.amazon.ca/dp/B0B3RNR33Y/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: encrypted-tbn0.gstatic.com; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"0xXjOhR9WVTIUuwGxESD","Modern Dining Chair","SwipeShop Studio","Amazon","storage","145.99","img-us.aosomcdn.com","no","https://www.amazon.ca/dp/B0DJR71CRZ/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: img-us.aosomcdn.com; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"19zvo8iKYKlbGqstz0wh","Modern Serving Tray","SwipeShop Studio","Amazon","storage","23.99","i5.walmartimages.com","no","https://www.amazon.ca/dp/B0CYT1MZ2X/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: i5.walmartimages.com; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1HEqAQv87FgwaZC2i7iA","Modern Kitchen Decor","SwipeShop Studio","Amazon","lighting","39.98","i5.walmartimages.com","no","https://www.amazon.ca/dp/B0DP2FW3GX/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: i5.walmartimages.com; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1KsituU0cCR7EWQIsekR","Modern Dining Chair","SwipeShop Studio","Amazon","storage","199.99","images.thdstatic.com","no","https://www.amazon.ca/dp/B0FQ5BB15D/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: images.thdstatic.com; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1Ugc7BgT2nM8O83ADMiR","Cozy Bench","SwipeShop Studio","Amazon","storage","155.99","picsum.photos","no","https://www.amazon.ca/dp/B084SN2GD7/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1XUoQVMrPBrQkhbqgm3u","Bold Table Lamp","SwipeShop Studio","Amazon","lighting","64.99","picsum.photos","no","https://www.amazon.ca/dp/B0DHL46YF2/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"25rsjAVfziaNsnTEJiWl","Minimal Round Mirror","SwipeShop Studio","Amazon","mirrors","62.99","picsum.photos","no","https://www.amazon.ca/dp/B0DGXDWNG4/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2bllusfsCmNnvXQuBd2U","Minimal Runner Rug","SwipeShop Studio","Amazon","storage","103.99","picsum.photos","no","https://www.amazon.ca/dp/B0D9P5N6BJ/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2gXrsxN5L1f6r2nWma5T","Soft Serving Tray","SwipeShop Studio","Amazon","storage","31.99","picsum.photos","no","https://www.amazon.ca/dp/B0D63B75M9/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2l2YxTiWCalduZnXhryV","Modern Stool","SwipeShop Studio","Amazon","storage","173.99","picsum.photos","no","https://www.amazon.ca/dp/B08RYRYTLB/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2rt88QgqOQfvU8FfH5tr","Modern Area Rug","SwipeShop Studio","Amazon","storage","94.99","picsum.photos","no","https://www.amazon.ca/dp/B0F3Y4NLSL/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3CI067BHtUQfr5Gl8nX9","Minimal Side Table","SwipeShop Studio","Amazon","storage","153.99","picsum.photos","no","https://www.amazon.ca/dp/B0DDPY7Y8D/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3IvvkM1cjwWKvWe2xqWz","Modern Area Rug","SwipeShop Studio","Amazon","storage","106.99","picsum.photos","no","https://www.amazon.ca/dp/B0DFQBDTH1/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3MACvF4c8REBDFb1aYjw","Modern Indoor Plant","SwipeShop Studio","Amazon","plants","30.99","picsum.photos","no","https://www.amazon.ca/dp/B0CBYLJSGG/ref=nosim?tag=YOURREALTAG-20","no","yes","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
